symbol,company_name,sector,listed_date
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Construction & Materials,2008-02-26T00:00:00
E12,Công ty Cổ phần Xây Dựng Điện VNECO 12,Construction & Materials,2019-12-31T00:00:00
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Media,2006-12-21T00:00:00
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Travel & Leisure,2017-03-16T00:00:00
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Technology,2010-10-13T00:00:00
EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Industrial Goods & Services,2017-02-16T00:00:00
EVG,Công ty Cổ phần Tập đoàn Everland,Construction & Materials,2017-06-08T00:00:00
EVS,Công ty Cổ phần Chứng khoán EVS,Financial Services,2018-08-01T00:00:00
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Construction & Materials,2013-05-15T00:00:00
FCN,Công ty Cổ phần FECON,Construction & Materials,2012-07-24T00:00:00
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Real Estate,2010-01-18T00:00:00
FGL,Công ty Cổ phần Cà phê Gia Lai,Food & Beverage,2018-09-14T00:00:00
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Retail,2018-04-26T00:00:00
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Personal & Household Goods,2017-02-06T00:00:00
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Personal & Household Goods,2015-03-09T00:00:00
GDA,Công ty Cổ phần Tôn Đông Á,Basic Resources,2023-09-07T00:00:00
GEE,Công ty Cổ phần Điện lực Gelex,Industrial Goods & Services,2022-03-08T00:00:00
GH3,Công ty Cổ phần Công trình giao thông Hà Nội,Construction & Materials,2021-08-04T00:00:00
GHC,Công ty Cổ phần Thủy điện Gia Lai,Utilities,2011-04-26T00:00:00
GMA,Công ty Cổ phần G-Automobile,Automobiles & Parts,2020-12-01T00:00:00
GMC,Công ty Cổ phần Garmex Sài Gòn,Personal & Household Goods,2006-12-22T00:00:00
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Construction & Materials,2022-01-12T00:00:00
GND,Công ty Cổ phần Gạch ngói Đồng Nai,Construction & Materials,2017-02-21T00:00:00
GPC,Công ty Cổ phần Tập đoàn Green+,Health Care,2023-01-06T00:00:00
GSM,Công ty Cổ phần Thủy điện Hương Sơn,Utilities,2015-04-08T00:00:00
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Industrial Goods & Services,2012-03-09T00:00:00
GTT,Công ty Cổ phần Thuận Thảo,Travel & Leisure,2010-06-30T00:00:00
HAC,Công ty Cổ phần Chứng khoán Hải Phòng,Financial Services,2016-10-18T00:00:00
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Food & Beverage,2008-12-22T00:00:00
HAM,Công ty Cổ phần Vật tư Hậu Giang,Construction & Materials,2017-08-21T00:00:00
HAP,Công ty Cổ phần Tập Đoàn Hapaco,Basic Resources,2000-08-04T00:00:00
HAS,Công ty Cổ phần Hacisco,Construction & Materials,2002-12-19T00:00:00
HAV,Công ty Cổ phần Rượu Hapro,Food & Beverage,2017-11-30T00:00:00
HBH,Công ty Cổ phần HABECO - Hải Phòng,Food & Beverage,2017-08-10T00:00:00
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Financial Services,2010-07-16T00:00:00
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Construction & Materials,2017-07-11T00:00:00
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Chemicals,2016-07-04T00:00:00
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Banks,2018-01-05T00:00:00
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Real Estate,2010-02-02T00:00:00
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,Construction & Materials,2017-07-14T00:00:00
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Industrial Goods & Services,2017-12-15T00:00:00
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,Media,2007-12-11T00:00:00
HGT,Công ty Cổ phần Du lịch Hương Giang,Travel & Leisure,2020-10-15T00:00:00
HHG,Công ty Cổ phần Hoàng Hà,Travel & Leisure,2010-07-28T00:00:00
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,Industrial Goods & Services,2016-12-16T00:00:00
HID,Công ty Cổ phần Halcom Vietnam,Construction & Materials,2016-07-11T00:00:00
HIO,Công ty Cổ Phần Helio Energy,Utilities,2023-10-23T00:00:00
HKT,Công ty Cổ phần Đầu tư QP Xanh,Food & Beverage,2017-01-12T00:00:00
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Industrial Goods & Services,2024-06-24T00:00:00
HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,Industrial Goods & Services,2017-10-16T00:00:00
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Personal & Household Goods,2019-12-27T00:00:00
HMR,Công ty Cổ phần Đá Hoàng Mai,Construction & Materials,2022-01-13T00:00:00
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,Construction & Materials,2017-06-05T00:00:00
HOT,Công ty Cổ phần Du lịch - Dịch vụ Hội An,Travel & Leisure,2011-07-21T00:00:00
HPD,Công ty Cổ phần Thủy điện Đăk Đoa,Utilities,2015-06-11T00:00:00
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Chemicals,2017-12-28T00:00:00
HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,Basic Resources,2016-01-18T00:00:00
HPO,Công ty Cổ phần Công nghiệp Hapulico,Industrial Goods & Services,2025-10-22T00:00:00
HPX,Công ty Cổ phần Đầu tư Hải Phát,Real Estate,2018-07-24T00:00:00
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội,Construction & Materials,2020-03-30T00:00:00
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Construction & Materials,2007-11-13T00:00:00
HTC,Công ty Cổ phần Thương mại Hóc Môn,Utilities,2010-05-07T00:00:00
HTT,Công ty Cổ phần Thương mại Hà Tây,Retail,2017-07-05T00:00:00
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Construction & Materials,2011-03-18T00:00:00
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Construction & Materials,2009-04-21T00:00:00
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Food & Beverage,2011-06-30T00:00:00
