Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,100000,10.0,0.65,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
20,200000,5.0,0.55,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
20,200000,5.0,0.6,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
20,200000,5.0,0.65,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
20,200000,10.0,0.55,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
20,200000,10.0,0.6,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
20,200000,10.0,0.65,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
20,100000,10.0,0.45,0.0,0.001,0.001,0.004,26467,197,392,72,0.0010451821279160887,0.00031048825036506775,0.1887877521982153,-0.1094518748780462,0.2372033685462569,9.438775510204081,0.4781782532624093,0.14231312331469767
10,100000,10.0,0.45,0.0,0.001,0.001,0.004,26467,197,392,72,0.0009932059942534073,0.0002585121167023861,0.16480220732715378,-0.1274914518254644,0.2372033685462569,9.183673469387756,0.454371465350083,0.11846576657976954
20,50000,5.0,0.35,0.0,0.001,0.001,0.004,38898,282,392,375,0.004337474967412095,0.0005109443551671949,2.8237350883396535,-0.14601229835468954,-0.16059856797429284,54.8469387755102,1.610310727774209,0.189734575034114
20,200000,5.0,0.35,0.0,0.001,0.001,0.004,26381,197,392,366,0.004258466505730633,0.0005237726281796113,2.6452525764837214,-0.1561924880177472,-0.039495994101378384,53.826530612244895,1.5456373435815116,0.1901698253512127
10,50000,5.0,0.35,0.0,0.001,0.001,0.004,38898,282,392,375,0.004336109149611212,0.0005095785373663125,2.7537927601235745,-0.16175591752497964,-0.16059856797429284,53.57142857142857,1.5707730783493543,0.18463740459619446
10,200000,5.0,0.35,0.0,0.001,0.001,0.004,26381,197,392,366,0.004277827501210483,0.0005431336236594609,2.61688165813334,-0.16283852640520058,-0.039495994101378384,53.316326530612244,1.5218290137438668,0.1932810006130645
5,100000,10.0,0.45,0.0,0.001,0.001,0.004,26467,197,392,72,0.0008641283071743938,0.0001294344296233727,0.10606024107875811,-0.171668946139945,0.2372033685462569,8.928571428571429,0.3943566768404283,0.0591487111736051
