trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-04-18,"BCM,CSV,AVG,DRI,VHC",5,0.03172610964371105,0.012005240512442845,0.4082232415676117,0.004,0.027726109643711052,0.9404140111820436,0.33434421457843144,-0.27049335818546705
2025-04-21,"BCM,POW,NVL,CTR,VCG",5,0.01655474474108438,0.021444185758475395,0.3976733088493347,0.004,0.012554744741084381,0.9725370698291858,0.3510965655892062,-0.25484968224635474
2025-04-22,"AVG,BCM,VDS,SHS,FCN",5,0.06250213439833767,0.036125524562317525,0.39878952503204346,0.004,0.058502134398337666,1.0958248468733527,0.43013859845443836,-0.2279307361397267
2025-04-23,"BAF,CSV,VRE,CTR,APG",5,0.0642272436461552,0.03952995260801544,0.42810869216918945,0.004,0.0602272436461552,1.2304338999531534,0.5162719042713249,-0.1974108747292247
2025-04-24,"VHC,CSM,BCM,DCL,HAG",5,0.06441335743817937,0.027630351972402618,0.4202347695827484,0.004,0.06041335743817937,1.3741036359930683,0.6078749807975372,-0.17523505470877043
2025-04-25,"APG,GEE,TPB,PVT,FCN",5,0.013257755842226349,0.030612209493831494,0.41701918840408325,0.004,0.009257755842226349,1.4055789223432065,0.6227602947945854,-0.14998717742034684
2025-04-28,"HAG,DRI,TPB,SHS,NVL",5,0.04308977281236863,0.03389320603673732,0.4256993234157562,0.004,0.039089772812368626,1.509234771589198,0.6861936260470383,-0.121177517690786
2025-04-29,"DRI,DBC,HDG,TPB,DCL",5,0.043384986419230345,0.030398312832984463,0.4309588372707367,0.004,0.03938498641923034,1.6180978880772559,0.7526043391090937,-0.09446279694889048
2025-05-05,"DRI,CSV,HDG,CSM,VOS",5,0.04269793654654053,0.02419196564318188,0.4337790012359619,0.004,0.03869793654654052,1.7298852655750103,0.820426510615129,-0.07255607204405501
2025-05-06,"NVL,DRI,TPB,DGW,HDG",5,0.028519372402199438,0.025692888828870854,0.4398800730705261,0.004,0.024519372402199438,1.8077398800792213,0.8650622261597378,-0.04872735830807173
2025-05-07,"NLG,CSM,DRI,TPB,PVT",5,0.047269735231706675,0.024492416759611224,0.4265170097351074,0.004,0.04326973523170667,1.9404610008100698,0.945762974876327,-0.02542839231573668
2025-05-08,"SHS,IJC,VOS,CSV,PVT",5,0.016723319879305663,0.015614434394885841,0.3982560634613037,0.004,0.012723319879305663,1.9896352707192402,0.9705195396149882,-0.0102110078844323
2025-05-09,"HAG,CSM,DBC,GEE,TDC",5,0.0384216329708734,0.010985018276360314,0.3871617913246155,0.004,0.0344216329708734,2.104501939807592,1.0383480399695495,0.000661842283697478
2025-05-12,"SHS,VOS,NVL,HAG,DRI",5,-0.014397582238805006,-0.003885528395784917,0.3917418122291565,0.004,-0.018397582238805006,2.0598046178186826,1.0008473642729028,-0.0032262577190742547
2025-05-13,"CSV,CSM,VDS,GEE,VOS",5,0.01981462442671218,-0.0011856831609502387,0.3840479254722595,0.004,0.01581462442671218,2.1204334971398793,1.0324900138740554,-0.004408115560574077
2025-05-14,"NVL,CSM,VDS,GEE,TTN",5,0.007599230039620486,-0.0013752079511160054,0.37641283869743347,0.004,0.003599230039620486,2.144146389107983,1.0398054129872198,-0.005777261436121783
2025-05-15,"CSM,CSV,NVL,VDS,GEE",5,0.004845812741240208,-0.010528447571272392,0.3745061457157135,0.004,0.0008458127412402077,2.159382333740647,1.0415307063951755,-0.01624488341325836
2025-05-16,"GEE,NVL,CSM,VDS,APG",5,0.01687712780938635,-0.002594577709323422,0.395239919424057,0.004,0.012877127809386348,2.2127036331859053,1.0678197582282132,-0.018797312510187236
2025-05-19,"GEE,NVL,ITD,CSM",4,0.039722447437493785,0.017017814634853776,0.39371150732040405,0.004,0.03572244743749378,2.3403200843873777,1.1416873408517314,-0.002099387055265134
2025-05-20,"VHM,CSM,VDS,HAG,DCL",5,0.06016166713951514,0.024174722605911685,0.382438600063324,0.004,0.056161667139515134,2.5412793094437283,1.2619680724055597,0.022024583450943158
2025-05-21,"VHM,NVL,VCG,CSM,HAG",5,0.04890281204449622,0.018761565715062163,0.3972342312335968,0.004,0.044902812044496226,2.7144578259105185,1.3635367996114383,0.04119936483576714
2025-05-22,"NVL,NAG",2,0.06811560693641605,0.026288049128928778,0.35115787386894226,0.004,0.06411560693641605,2.9674703751621334,1.5150763960350795,0.06857046489157925
2025-05-23,"GEE,CSM,NAG,NVL",4,0.024686425638936665,0.017308899882629406,0.39174771308898926,0.004,0.020686425638936665,3.065413037553258,1.5671043368779043,0.08706624408592245
2025-05-26,"CTP,VHC,VOS,DPR,CSM",5,-0.02624435911456293,0.008469314740393863,0.3971392512321472,0.004,-0.03024435911456293,2.958718877846684,1.489463911428817,0.09627295025074378
2025-05-27,"CTP,GEE,SAV,NVL,NHA",5,-0.0008509059734131963,0.0027656342080148778,0.37704411149024963,0.004,-0.004850905973413196,2.9553503803064607,1.4773877560702706,0.09930484022327857
2025-05-28,"CSM,VNP,HAG,DCL,VHM",5,0.020059207958767988,0.00956474207656723,0.36835819482803345,0.004,0.016059207958767988,3.0346915761348203,1.5171726412395086,0.10981940748353614
2025-05-29,"NVL,NAG",2,-0.004098256622701357,0.008622757301317443,0.4027835726737976,0.004,-0.008098256622701357,3.018156374662368,1.4967879312271082,0.11938911088255844
2025-05-30,"NVL,PNC",2,0.08948298686687828,0.00958166756219083,0.37836095690727234,0.004,0.08548298686687827,3.377713008765344,1.7102208211615753,0.1301147252157715
