symbol,date,volume,volume_rounded
EVG,2025-11-21 07:00:00,2463727.2953414745,2463727.0
EVG,2026-01-09 07:00:00,2463727.2953414745,2463727.0
EVS,2020-11-19 07:00:00,359620.96453519614,359621.0
EVS,2023-11-10 07:00:00,359620.96453519614,359621.0
EVS,2023-12-12 07:00:00,359620.96453519614,359621.0
EVS,2024-01-18 07:00:00,359620.96453519614,359621.0
EVS,2024-12-25 07:00:00,359620.96453519614,359621.0
FCM,2017-05-17 07:00:00,303703.5422451408,303704.0
FCM,2017-06-06 07:00:00,303703.5422451408,303704.0
FCM,2018-01-09 07:00:00,303703.5422451408,303704.0
FCM,2021-04-29 07:00:00,303703.5422451408,303704.0
FCM,2021-11-19 07:00:00,303703.5422451408,303704.0
FCM,2022-02-17 07:00:00,303703.5422451408,303704.0
FCM,2022-05-20 07:00:00,303703.5422451408,303704.0
FCM,2022-11-11 07:00:00,303703.5422451408,303704.0
FCM,2023-05-29 07:00:00,303703.5422451408,303704.0
FCM,2024-11-01 07:00:00,303703.5422451408,303704.0
FCN,2017-01-20 07:00:00,3075819.583008574,3075820.0
FCN,2020-01-16 07:00:00,3075819.583008574,3075820.0
FCN,2020-10-21 07:00:00,3075819.583008574,3075820.0
FCN,2021-08-12 07:00:00,3075819.583008574,3075820.0
FCN,2022-05-25 07:00:00,3075819.583008574,3075820.0
FCN,2023-10-12 07:00:00,3075819.583008574,3075820.0
FCN,2024-08-07 07:00:00,3075819.583008574,3075820.0
FCN,2025-07-14 07:00:00,3075819.583008574,3075820.0
FCN,2025-10-29 07:00:00,3075819.583008574,3075820.0
FDC,2016-02-18 07:00:00,8681.001118568232,8681.0
FDC,2018-01-03 07:00:00,8681.001118568232,8681.0
FDC,2019-03-12 07:00:00,8681.001118568232,8681.0
FDC,2019-08-06 07:00:00,8681.001118568232,8681.0
FDC,2021-04-12 07:00:00,8681.001118568232,8681.0
FDC,2022-06-16 07:00:00,8681.001118568232,8681.0
FDC,2022-08-22 07:00:00,8681.001118568232,8681.0
