symbol,date,open,high,low,close,volume
ARM,2016-02-29 07:00:00,15.0,15.02,15.02,15.02,1700.0
ARM,2016-03-02 07:00:00,15.24,15.31,15.27,15.31,600.0
ARM,2016-03-04 07:00:00,15.48,15.94,15.51,15.94,3200.0
ARM,2016-03-07 07:00:00,15.53,15.56,15.56,15.56,1600.0
ARM,2016-03-08 07:00:00,15.48,15.51,15.51,15.51,200.0
ARM,2016-03-11 07:00:00,15.04,15.07,15.07,15.07,1600.0
ARM,2016-03-15 07:00:00,13.54,15.07,13.57,15.07,300.0
ARM,2016-03-16 07:00:00,13.74,13.76,13.76,13.76,100.0
ARM,2016-03-17 07:00:00,15.0,15.02,15.02,15.02,500.0
ARM,2016-03-18 07:00:00,13.59,13.62,13.62,13.62,100.0
ARM,2016-03-21 07:00:00,14.75,14.78,14.78,14.78,100.0
ARM,2016-03-24 07:00:00,15.86,15.9,15.9,15.9,900.0
ARM,2016-03-30 07:00:00,16.06,16.24,16.09,16.24,3500.0
ARM,2016-03-31 07:00:00,16.2,16.24,16.24,16.24,500.0
ARM,2016-04-04 07:00:00,16.2,16.38,16.24,16.38,2200.0
ARM,2016-04-05 07:00:00,16.45,16.57,16.48,16.57,3500.0
ARM,2016-04-07 07:00:00,16.64,16.72,16.67,16.72,2100.0
ARM,2016-04-08 07:00:00,16.93,16.96,16.96,16.96,1800.0
ARM,2016-04-11 07:00:00,16.93,16.96,16.96,16.96,300.0
ARM,2016-04-13 07:00:00,16.93,17.4,16.96,17.4,3000.0
ARM,2016-04-14 07:00:00,15.67,15.7,15.7,15.7,100.0
ARM,2016-04-19 07:00:00,15.96,15.99,15.99,15.99,100.0
ARM,2016-04-20 07:00:00,15.96,15.99,15.99,15.99,100.0
ARM,2016-04-22 07:00:00,15.96,15.99,15.99,15.99,3100.0
ARM,2016-04-28 07:00:00,16.1,16.14,16.14,16.14,1000.0
ARM,2016-05-20 07:00:00,16.93,16.96,16.96,16.96,200.0
ARM,2016-05-23 07:00:00,15.24,15.27,15.27,15.27,100.0
ARM,2016-05-25 07:00:00,15.24,15.27,15.27,15.27,15.0
ARM,2016-05-26 07:00:00,13.74,13.76,13.76,13.76,100.0
ARM,2016-06-01 07:00:00,13.76,13.76,13.76,14.81,10.0
ARM,2020-01-13 07:00:00,24.78,22.3,22.3,24.78,10.0
AVC,2018-06-15 07:00:00,16.0,16.0,16.0,15.78,30.0
AVC,2018-07-20 07:00:00,15.29,15.51,15.51,15.29,98.0
AVC,2018-08-10 07:00:00,14.69,14.91,14.91,14.69,17.0
AVC,2019-04-26 07:00:00,16.6,16.6,16.6,16.55,81.0
AVC,2019-12-30 07:00:00,17.19,17.19,17.19,15.01,300.0
AVC,2019-12-31 07:00:00,14.9,15.01,14.9,15.07,1700.0
AVC,2020-01-07 07:00:00,15.01,15.01,15.01,16.27,100.0
AVC,2020-08-25 07:00:00,15.04,15.04,15.04,15.22,1.0
AVC,2020-09-09 07:00:00,15.04,15.04,15.04,15.22,30.0
AVC,2022-03-08 07:00:00,23.77,23.77,23.77,23.84,10.0
AVC,2022-10-07 07:00:00,26.75,26.75,26.75,26.48,53.0
AVC,2022-10-10 07:00:00,26.75,26.75,26.75,26.48,1.0
AVC,2022-10-11 07:00:00,26.75,26.75,26.75,26.48,3.0
AVC,2023-10-26 07:00:00,48.68,48.68,48.68,51.57,15.0
