time,open,high,low,close,volume,symbol
2024-01-04 07:00:00,20.92,21.04,20.68,20.92,825700.0,AGG
2024-11-11 07:00:00,,15.55,15.3,,179300.0,AGG
2025-08-15 07:00:00,21.1,21.1,,20.6,1840300.0,AGG
2016-06-08 07:00:00,,5.61,5.61,5.61,,AGP
2016-06-10 07:00:00,,,6.38,6.38,,AGP
2017-10-20 07:00:00,7.61,7.61,7.61,7.61,,AGP
2018-10-09 07:00:00,9.86,9.86,,9.86,1300.0,AGP
2018-12-26 07:00:00,8.09,8.09,,8.09,,AGP
2019-05-03 07:00:00,8.21,8.21,,8.21,100.0,AGP
2019-05-08 07:00:00,9.34,,,9.34,,AGP
2019-05-30 07:00:00,11.28,11.28,11.28,11.28,10.0,AGP
2019-11-29 07:00:00,,,8.94,8.94,,AGP
2021-09-27 07:00:00,13.3,,13.3,,,AGP
2022-07-26 07:00:00,14.18,14.86,14.18,14.32,19485.0,AGP
2022-08-11 07:00:00,14.39,14.52,14.39,14.39,3108.0,AGP
2023-03-20 07:00:00,16.5,,,17.32,5100.0,AGP
2024-01-04 07:00:00,19.86,19.86,19.86,19.86,72.0,AGP
2024-01-12 07:00:00,,19.78,19.78,19.78,,AGP
2024-05-21 07:00:00,34.24,37.58,33.56,34.76,14074.0,AGP
2024-06-04 07:00:00,35.1,,,35.1,,AGP
2024-08-08 07:00:00,34.76,34.76,34.76,34.76,27124.0,AGP
2024-09-09 07:00:00,34.07,34.24,34.07,34.24,3020.0,AGP
2024-09-12 07:00:00,34.24,,34.24,34.24,502.0,AGP
2024-11-05 07:00:00,33.39,33.39,33.39,,500.0,AGP
2025-01-14 07:00:00,33.39,,,,,AGP
2025-02-10 07:00:00,31.67,33.3,31.67,33.3,,AGP
2025-09-03 07:00:00,,40.38,39.42,40.38,,AGP
2026-01-12 07:00:00,36.9,37.1,36.5,,,AGP
2026-03-31 07:00:00,,38.2,,37.5,1900.0,AGP
2018-04-27 07:00:00,20.13,,,,,AGX
2018-10-29 07:00:00,13.23,13.23,,13.23,100.0,AGX
2020-05-26 07:00:00,20.32,20.32,20.32,20.32,100.0,AGX
2021-06-04 07:00:00,28.68,28.68,,,6000.0,AGX
2021-07-13 07:00:00,,,26.07,,1400.0,AGX
2022-03-08 07:00:00,32.59,,32.59,32.59,11500.0,AGX
2022-12-14 07:00:00,28.58,28.58,28.58,,5.0,AGX
2023-04-20 07:00:00,37.8,37.8,37.8,,,AGX
2023-12-01 07:00:00,34.45,34.45,33.5,33.5,,AGX
2025-02-21 07:00:00,,79.0,79.0,79.0,100.0,AGX
2025-07-30 07:00:00,143.0,154.0,143.0,154.0,700.0,AGX
2025-08-18 07:00:00,,167.9,167.9,167.9,100.0,AGX
2025-08-25 07:00:00,141.0,141.0,141.0,141.0,,AGX
2016-01-04 07:00:00,2.59,,2.54,2.54,,ALV
2016-08-16 07:00:00,,2.38,2.23,2.23,1900.0,ALV
2016-09-13 07:00:00,2.49,2.54,2.44,2.44,47500.0,ALV
2017-07-25 07:00:00,5.6,,,5.8,33400.0,ALV
2017-07-28 07:00:00,5.49,5.49,,5.49,2900.0,ALV
2017-10-05 07:00:00,,,,6.47,45600.0,ALV
2017-12-11 07:00:00,,10.88,,,52900.0,ALV
2018-07-18 07:00:00,2.29,2.47,2.29,2.47,,ALV
2019-08-30 07:00:00,1.35,1.53,1.29,1.47,,ALV
2021-05-21 07:00:00,1.47,1.94,,1.71,17700.0,ALV
2022-09-23 07:00:00,,2.94,2.76,2.82,,ALV
2023-03-03 07:00:00,2.41,,2.24,2.24,22500.0,ALV
2023-08-25 07:00:00,2.82,2.82,2.71,,,ALV
2024-04-26 07:00:00,3.18,3.18,2.94,2.94,600.0,ALV
2024-10-24 07:00:00,3.94,3.94,3.53,3.53,29890.0,ALV
2024-12-17 07:00:00,,,,3.53,,ALV
2025-06-24 07:00:00,,7.0,,,,ALV
2025-07-03 07:00:00,,,,6.71,,ALV
2025-09-29 07:00:00,8.1,,7.9,8.0,2200.0,ALV
2025-10-03 07:00:00,7.5,,6.8,7.0,,ALV
2025-11-05 07:00:00,,6.4,6.2,,22900.0,ALV
2026-01-22 07:00:00,6.8,6.9,6.6,,37500.0,ALV
2026-03-02 07:00:00,,,7.5,7.6,29800.0,ALV
2017-06-09 07:00:00,7.58,,,,,ANT
2021-07-06 07:00:00,,5.68,5.44,5.68,,ANT
2021-08-02 07:00:00,6.16,6.16,5.98,6.1,,ANT
2021-11-01 07:00:00,7.12,7.18,7.06,,6310.0,ANT
2022-02-11 07:00:00,8.43,9.33,8.43,9.33,504.0,ANT
2023-10-19 07:00:00,,7.34,6.49,,,ANT
2024-03-20 07:00:00,9.25,9.25,9.07,,4132.0,ANT
2024-06-03 07:00:00,11.22,11.58,11.22,,20800.0,ANT
2024-07-30 07:00:00,13.65,15.26,,,209609.0,ANT
2017-02-13 07:00:00,,1.11,1.04,,,ANV
2017-08-23 07:00:00,2.79,2.79,2.7,2.75,43470.0,ANV
2017-11-08 07:00:00,,,3.34,3.36,,ANV
2017-11-16 07:00:00,,3.37,3.31,3.36,520080.0,ANV
2018-01-25 07:00:00,,5.37,,5.37,785790.0,ANV
2018-05-04 07:00:00,8.31,,,8.31,584750.0,ANV
2018-12-04 07:00:00,10.19,10.74,10.15,10.71,760830.0,ANV
2019-04-18 07:00:00,10.13,10.21,10.01,,371380.0,ANV
2019-06-13 07:00:00,,,10.42,,383180.0,ANV
2019-06-20 07:00:00,10.34,10.51,10.34,10.48,,ANV
2019-12-13 07:00:00,9.09,9.31,,8.98,,ANV
2021-03-29 07:00:00,9.79,9.83,9.66,9.83,138500.0,ANV
2021-07-19 07:00:00,10.83,11.26,,,576500.0,ANV
2021-09-15 07:00:00,12.73,,,,775100.0,ANV
2021-11-26 07:00:00,15.89,15.89,15.45,15.67,703400.0,ANV
2022-06-14 07:00:00,22.75,24.3,22.75,24.3,,ANV
2024-01-30 07:00:00,,14.38,14.16,14.26,1320700.0,ANV
2024-05-06 07:00:00,,14.54,14.0,14.45,1039700.0,ANV
2024-07-18 07:00:00,16.59,16.93,16.45,16.93,2562000.0,ANV
2025-01-23 07:00:00,17.72,,,,630700.0,ANV
2025-07-17 07:00:00,,23.09,21.93,,7485400.0,ANV
2025-09-23 07:00:00,25.31,26.82,25.31,26.82,1936500.0,ANV
2026-02-09 07:00:00,27.6,27.6,26.7,26.7,1235700.0,ANV
2019-11-27 07:00:00,7.34,7.34,7.3,,3600.0,APF
2022-10-04 07:00:00,39.1,39.1,38.4,38.4,,APF
2022-12-26 07:00:00,37.22,37.22,36.64,,21337.0,APF
2023-01-11 07:00:00,36.93,36.93,36.58,36.64,2700.0,APF
2023-12-21 07:00:00,39.88,39.88,39.81,,4031.0,APF
2024-05-29 07:00:00,48.94,48.94,48.57,48.64,18500.0,APF
2024-09-12 07:00:00,50.08,,49.57,49.66,1608.0,APF
2025-10-27 07:00:00,38.05,38.54,37.17,37.95,4000.0,APF
2017-01-12 07:00:00,3.27,,,,404280.0,APG
2017-02-23 07:00:00,,2.53,,2.53,,APG
2018-04-10 07:00:00,,,3.29,3.29,317680.0,APG
